,text,intent
1290,dam hoa hong 149k con ko shop,3
1291,đặt hàng,6
1292,bắt đầu,0
1293,ok e,1
1294,k bit live nào e ơi chi bit túi frendi chữ nhìu màu ấy,2
1295,sao k nge thay tl c j het nè,4
1296,k túi frendi,2
1297,c đã ck tiền rui e,4
1298,và còn cái túi của c nữa e c ck mà giao sót,4
1299,sao c đặt trên live k đọc tên c vậy,4
1300,hi shop,0
1301,vay để do di e ki nào p like tip c trừ chứ bua jo c chưa có đơn còn túi xach thi c da ck mà giao thiếu c nhe,4
1302,tổng 205k e,2
1303,gửi đơn cho c ck c ck rùi lại nói hết set len hồng jo giao hàng c đã gửi mẫu và được chốt trên live thì lại giao mẫu khác và k giao túi luôn c đã sợ quên nên nt nhắc rùi nè,4
1304,rùi đầm c mua mẫu này thì tự động giao mẫu kac la sao e,4
1305,cái túi c đã chốt truoc và ck truoc,4
1306,e ơi c nhận được hàng roi còn cái túi e k gửi c lun c đã ck rồi mà,4
1307,mau này c có đat size m trắng mà k thay ai chốt,4
1308,mã 20 túi màu hồng còn k e,3
1309,ma 20 màu hong,2
1310,ủa tong tien nhiu e de c ck,3
1311,mà mẫu áo khoác đó còn hàng k e chứ gửi đi gửi lại piền wa e,3
1312,c nhận được áo koacs rồi nhưng sao áo bị dính mực e ơi,4
1313,ủa c tưởng ck 500k la free ship thi e chuyen hàng lun chứ,3
1314,đinh hnay lấy túi đi tiệc mà jo van chưa giao cho c vay shop,4
1315,ua c ck lau ui mà den hom nay van chưa nhan duoc hàng,4
1316,giao dia chi 28 50 mai xuân thưởng p1 q6 nhe e,2
1317,c ck rui nhưng trong tk c k đủ tiền nen c lấy 1 cái nịt bụng màu da size s thui nhe e,6
1318,đồ c sarah ngo da ck tien cho shop hom wa e dồn đơn voi fb hoahuynh chuyen hang di dùm c o địa chỉ 59 61 63 hau giang q6 shop,2
1319,hi e,0
1320,liên hệ tư vấn viên,5
1321,liên hệ tư vấn viên,5
1322,liên hệ tư vấn viên,5
1323,liên hệ tư vấn viên,5
1324,bên shop còn mẫu đầm này màu vàng k,3
1325,liên hệ tư vấn viên,5
1326,shop ơi ktra dùm c còn thiếu 1 áo khoác hồng,4
1327,cho c 2 hộp dán nhe,6
1328,liên hệ tư vấn viên,5
1329,hi shop,0
1330,ngô thị thanh loan,2
1331,đầm bi xanh chot tren live ma het ha e,3
1332,à con set hong pai k e,3
1333,đầm này màu xanh còn k shop dồn đơn cho c tối qua lun nhe,3
1334,bắt đầu,0
1335,sáng nay nv goin chốt đơn nói k có sz l là sao vậy shop ạ,4
1336,hqua em được chốt mã này sz l,2
1337,mấy mã này vừa live còn k shop ơi,3
1338,em mặc sz l,2
1339,qusnf còn k ah,3
1340,nguyên sét này còn không vậy shop ơi,3
1341,sét này còn k ạ,3
1342,chị ơi,0
1343,bên mình còn sét này k shop,3
1344,hai sét này còn k shop ơi,3
1345,đặt hàng,6
1346,bộ này bên b còn k ạ,3
1347,bắt đầu,0
1348,ok e,1
1349,e ơi có mặt nạ cho c không,3
1350,588 5 ấp hoà định xã vĩnh thới huyện lai vung tỉnh đồng tháp,2
1351,sdt xxxxx diễm,2
1352,e ơi mặt nạ còn không gởi c 2 sét địa chỉ này nhé,3
1353,quần jean đen này chắc hết hả e a,3
1354,66 trương hán siêu p rạch dừa tp vũng,2
1355,sđt xxxxx 2 nước hoai lan com tím,2
1356,chào e mặt nạ sét 89k còn không ship c 2 sét nhé,3
1357,e ơi quần jean ai xả ship c nhé sz l,6
1358,66 trương hán siêu p rạch dừa tp vũng,2
1359,sđt xxxxx 2 nước hoai lan com tím,2
1360,ship 2 lan com màu tím này nhé,6
1361,ship c 1 chay,6
1362,e ơi nước hoa còn không,3
1363,e ơi quần còn không cho c thêm 2 quần xl nữa nhé c vừa nhận được hàng thik quá,3
1364,size xl,2
1365,66 trương hán siêu p rạch dừa tp vũng tàu,2
1366,e chốt c 2 quần nhé,6
1367,quần con không e chốt c 2 quần xl,3
1368,còn nước hoa 15 gởi c 1 chai nhé,6
1369,c lấy 3 quần này nếu còn gởi địa chỉ cũ c nhé,6
1370,liên hệ tư vấn viên,5
1371,quần 79k còn k c lấy 3 quần,3
1372,quần đen còn k shop,3
1373,c lấy,6
1374,chào shop sét này còn k,3
1375,liên hệ tư vấn viên,5
1376,liên hệ tư vấn viên,5
1377,chi iu oi,0
1378,sao em chua thay ai dien thoai chot don em vay chi,4
1379,liên hệ tư vấn viên,5
1380,1m65 55kg,2
1381,minh con quan nay ko chi,3
1382,bắt đầu,0
1383,mẫu này còn k cưng,3
1384,mẫu này còn k cưng,3
1385,còn bộ len này ko có ha chi,3
1386,set 199k này còn ko chi 60kg mặc vua ko chi,3
1387,liên hệ tư vấn viên,5
1388,còn sét này 199k ko chi,3
1389,còn đầm này 175k ko chị,3
1390,mẫu này 195k 60kg mac vừa ko chi,3
1391,liên hệ tư vấn viên,5
1392,mẫu này 195k 60kg mac vừa ko chi,3
1393,chi oi,0
1394,áo dài nay còn k ạ,3
1395,shop ơi,0
1396,khu phô định thắng 1 thi trân phú hòa phú hòa phú yên,2
1397,1 kinh 125k,2
1398,bnh het,3
1399,chot e kinh 125k nha xxxxx,6
1400,chôt e kính xxxxx,6
1401,ma nay con k c,3
1402,con kinh mắt k c lây e 1 cai,3
1403,c oi,0
1404,ao nay bnh tiên vay c,3
1405,c oi con ao trang nay k c,3
1406,bộ này còn k shop,3
1407,bên mình còn bộ này k ạ,3
1408,bộ này còn k shop,3
1409,tại e đặt trên live 2 bộ chung 1 live mà 2 bạn chốt mỏi bạn chốt cái,4
1410,báo giá cho e và ck,3
1411,lấy e bộ này chung với những cái e mua trên live hồi nãy ạ,6
1412,bộ này còn k b,3
1413,còn mẫu này k shop,3
1414,sao cứ để kiểm tra tn là sao shop,4
1415,dạ chưa ai gọi chốt hết ạ,4
1416,dạ ý e hỏi hôm live t5 gọi chốt đơn chưa ạ e được đọc tên mà k thấy ai gọi chốt ạ,4
1417,dạ không hôm bữa có đọc tên e trên live nhưng hk thấy gọi chốt ạ,4
1418,shop,0
1419,đặt đồ tối qua hôm nay đã chốt chưa ạ thấy có mấy sdt lạ gọi chốt mà chốt đồ k phải e mua ạ,4
1420,áo bông còn màu nào lấy màu đó nha chị,6
1421,còn màu nào b,3
1422,vậy lấy luôn nha b,6
1423,vs mẫu áo này con k chị,3
1424,ukm b hk còn màu nào lấy màu đó,6
1425,vs 1 áo hoa,2
1426,1 sét đó,2
1427,1 áo chanel 1 áo khoát,2
1428,kiểm tra giúp e 2 mẫu này còn k chị,3
1429,nếu còn chốt cho mình vớixxxxx,6
1430,set xah này còn k shop,3
1431,ok e,1
1432,còn đen ko e,3
1433,mẫu này có size ko e ơi,3
1434,e ơi,0
1435,tổng bnhiu hết e ơi để c chuyển,3
1436,mảu này còn o c phương,3
1437,mả 27,2
1438,xóm 3 thôn phước thiện xả bình hải huyện bình sơn tỉnh quảng ngải nguyển thị thương,2
1439,vay lay e cái ao sơ mi nay size m ạ,6
1440,xxxxx,2
1441,dạ vay lay nâu size l còn vàng size m,6
1442,mẫu đầm vàng và mẫu nào nữa ạ,3
1443,shop chốt dum e 3 mẫu đó nhé,6
1444,đầm vàng size m,2
1445,đầm nâu size l,2
1446,đầm bông size l,2
1447,để em mẫu này size l c nhé,6
1448,dạ đầm màu đen chân váy size l màu nâu ạ,2
1449,đầm này còn màu đen k ạ,3
1450,chốt e chân váy da mã 16 nay c nhe màu nâu size l ạ,6
1451,xxxxx,2
1452,1 đầm màu đen hoăc cam đất hoac đỏ tuỳ shop còn màu ạ và 2 sét măt nạ,6
1453,thêm 2 sét măt nạ nưa chị nhé,2
1454,mã 16 và 17 ạ,2
1455,e thích đầm đó hihi c coi con cái nào chốt e nhé co hàng lại k c,3
1456,váy màu đen túi màu kem ạ,2
1457,túi thi màu kem,2
1458,chi oi,0
1459,ship bnhiu chị,3
1460,b ơi tiền ship bnhiu vậy,3
1461,tổng bill m bnhiu,3
1462,còn ko ship m,3
1463,nước hoa guốc sữa tắm set xanh,2
1464,túi hồng,2
1465,set đen l nha,6
1466,m lấy áo trắng,6
1467,còn áo trăng đen còn quần jean ko b,3
1468,còn ko b oi,3
1469,m lấy màu đen nhé 55kg,6
1470,còn ko b ơi,3
1471,liên hệ tư vấn viên,5
1472,đầm còn ko b ơi,3
1473,get started,0
1474,set còn k b oi,3
1475,get started,0
1476,áo còn ko c,3
1477,con ko c,3
1478,mẫu này 55kg vừa ko b ơi,3
1479,bên shop báo ship gọi cho exxxxx,5
1480,shop oi,0
1481,alo chị ơi,0
1482,chị ơi,0
1483,còn túi sách này ko dạ chị ơi,3
1484,alo chị ơi,0
1485,lấy e cái áo này nha chị ơi,6
1486,tổng bil c là bn e,3
1487,598 trần phú,2
1488,kp ninh bình phường ninh sơn tp tây ninh,2
1489,cho e cái màu trắng sz m,6
1490,đầm này còn ko ah size m,3
1491,còn cho e 1 cai trắng size m ah,3
1492,đầm trắng hồi tối like còn ko ah,3
1493,màu trắng hay vàng cũng được,2
1494,e còn mẫu này ko cho c 1 cái đi chung đơn luôn dc ko e,3
1495,598trần phú khu phố ninh bình phường ninh sơn tp tây ninh,2
1496,kiểm tra gọi lại giùm đi shop ơi chờ máy nãy giờ ko thấy gọi,5
1497,598 trần phú kp ninh bình phường ninh sơn tp tây ninh,2
1498,c ơi kêu nhân viên gọi lại giùm em,5
1499,vậy c chốt e sét đen và vàng nhen c,6
1500,còn ko c ơi,3
1501,chị ơi 2 mâu này còn ko ah,3
1502,shop ơi còn áo này ko shop cho e 2 màu ah e comment hoài ko mua dc,3
1503,gửi về cho e số 275 đường vạn hạnh phường ninh khánh tp ninh bình,2
1504,có những sz gì n,3
1505,vậy cho e áo da đó c nha,6
1506,2 mẫu này còn ko ak,3
1507,bộ này còn ko ạ,3
1508,vậy cho mình sz m nhé,6
1509,áo này sz nhỏ nhất ạ,2
1510,áo da này bên shops còn ko ạ,3
1511,hoa lê,2
1512,và 1 cái áo da mà nud,2
1513,hôm trc mình đặt bộ sét vect đen mã 03,2
1514,shops ơi,0
1515,còn ko ạ,3
1516,liên hệ tư vấn viên,5
1517,khu vực 4 thị trấn hiệp hoà huyện đức hoà tỉnh long an,2
1518,liên hệ tư vấn viên,5
1519,liên hệ tư vấn viên,5
1520,e ơi,0
1521,màu xanh nha,2
1522,có sét bộ tím nữa mà c xả và thay bằng jum hoa này nè,7
1523,sét hồng vs áo hồng và jum hoa nếu còn,2
1524,sét hồng e,2
1525,mẫu dưới bên e còn thì lấy cho c 1 jum luôn,3
1526,e lấy luôn cho c thêm cái áo màu hồng nha,6
1527,e dt lại để c chốt đơn e,5
1528,mẫu này bên e còn k,3
1529,mẫu này bên e còn k,3
1530,mẫu này bên shop e còn k,3
1531,mẫu màu này bên shop còn k,3
1532,mẫu này còn không ạ,3
1533,shop còn không ạ,3
1534,cái nay còn size m ko lay chị 1 cái lun,3
1535,z lay e 1 cái size m,6
1536,e 1 cái này,6
1537,e mot cái size này size m nha chị,2
1538,liên hệ tư vấn viên,5
1539,liên hệ tư vấn viên,5
1540,trần thị mỹ ly xxxxx đ c,2
1541,135a 10 trần phú noi dài p7 bạc liêu,2
1542,chân váy đen,2
1543,áo màu trắng,2
1544,sđt của e xxxxx áo thun e lấy màu vàng nha chị,2
1545,đầm trắng 01 sz m 199k,2
1546,da vag a vay lay mau trag nay sizem cho e nha shop,6
1547,mau trag size mva them mau den nua,2
1548,vay e lay them mau den nay nua 2 cai shjp e nha shop,6
1549,mau nay con size m ko a,3
1550,shop po,0
1551,235 9 xom chieu f15 q4xxxxx,2
1552,vậy e chot size m ạ,6
1553,da e cam on ạ e mun đat nhung do minh hết hàng thsnk shop ho tro e nhiu nha thank ban nhiu lam sẽ ung ho shop nhiu a,1
1554,shop kiem kho giúp e con hay ko de e bít e đat them dx ko a,3
1555,da shop ơi e nhan dc cuộc goi chot don cái dam do rui nen giờ e đat thêm may mau nay dc ko con hàng e chot nha dhop,3
1556,vậy e chot đam do size m nha shop 235 9 xom chieu f15 q4 0937 30 39 30 hic lat e đoi hết live shop kiem kho e chot tiếp a,2
1557,da vậy e lấy trc 1 đam do shop chot e neu hết live con sot mau cam shop giúp e dồn don dc ko ạe cam on nhiu,6
1558,rep giúp e,5
1559,e chot 2 kieu nag nha shop,6
1560,235 9 xom chieu f15 q4 0937 30 39 30,2
1561,với lai ao hong nay nữa,6
1562,da vậy chot cho e size m đam do nay nha shop,6
1563,shop ranh giúp e ib nha,5
1564,0937 30 39 30,2
1565,235 9 xom chieu f15 q4 e chot mau nay nha shop,2
1566,đặt hàng,6
1567,get started,0
1568,còn hk shop,3
1569,con hk shop,3
1570,còn túi ko c ơi,3
1571,áo khoát con ko ạ,3
1572,con khong shop,3
1573,ok shop màu đen nhe shop,2
1574,còn mẫu đầm này k shop,3
1575,số 7 trần đại nghĩa p cái khế quận ninh kiều tp cần thơ,2
1576,vậy cho e đặt cái màu kem đi c,6
1577,cho e xin hình màu kem đc k shop,3
1578,shop ơi kiểm tra giúp mình còn mẫu đầm này k nhe,3
1579,mình còn mẫu đầm này k shop,3
1580,shop mình còn 2 mẫu này k ak,3
1581,bắt đầu,0
1582,mặc dây bị đứt sao dây sau dễ đứt vậy shop,4
1583,e mặc bị rộng cho e đổi size đc ko shop,7
1584,2 cái nha trắng và đen nha e,2
1585,tc nhiêu tiền z e,3
1586,mẫu này còn ko cho chị zise m trắng và đen gửi đt chỉ cũ nhaxxxxx,3
1587,bắt đầu,0
1588,còn đủ 3 món hả gọi chốt e nha shop xxxxx,5
1589,còn nuoc hoa guoc nuoc hoa vic đầm hoa mã 33 còn thi gọi chốt e nha,3
1590,đổi 1 quần jean 230k nhầm size,7
1591,của chị bao nhiêu ah chị ck luôn nè,3
1592,ok khi nào có báo chị với nha,5
1593,bên em còn ko,3
1594,của chị bao nhiêu tiền,3
1595,lấy chị thêm sét này nửa,6
1596,vậy bửa giờ của chị có j rồi,3
1597,em ơi,0
1598,hai hủ cơm chay nửa,2
1599,vậy nếu dc lấy chị 2 đen 2 trắng nha,6
1600,vậy mai coi có ko báo chị,5
1601,lấy 2 cái đi,6
1602,vậy đổi dang mẫu quân nãy chị chọn đi,7
1603,bao nhiêuchij ck luôn nè bé,3
1604,roof vậy tc của chị bao nhiêu,3
1605,thì lấy chị 1 cái ấy,6
1606,hai hộp cơm cháy nha,2
1607,ok vậy lấy trắng,6
1608,quần thì lấy cho chị size s,6
1609,nếu áo này còn đen thi lấy cho chị 2 đen 1 trắng,3
1610,mẫu này cung hết hả,3
1611,còn ko,3
1612,áo thun này,2
1613,quần size s,2
1614,mẫu nay còn ko,3
1615,quần này còn ko bé,3
1616,còn màu đen ko em,3
1617,có size ko,3
1618,áo nay con ko em,3
1619,với cho chị hai hộp cơm cháy khô gà nha,6
1620,bên em con mẫu áo thun nào hk,3
1621,chán thiệt lun lân nào cung thiếu của chị hết,4
1622,em con mẫu áo thun nào gửi cho chị xem đi chị lấy thêm,3
1623,chị đặt 2 cái quần s l mà sao giao cho chị có một cái l vậy,4
1624,em ơi sao lại giao thiếu hàng cho chị nửa vậy,4
1625,hinh như một cái đầm vàng 2 cái quần ah,2
1626,con quân nay ko,3
1627,em ơi,0
1628,em phương mặc cái quần này còn hàng ko,3
1629,của chị tc bao nhiêu,3
1630,giao địa chỉ mới cho chị nha bạn chị nhận dum 27m nguyễn ảnh thủ trung mỹ tây q12,2
1631,nguyễn bích ngọcxxxxx,2
1632,tc bao nhiêu vậy,3
1633,mã 21 ah,2
1634,vậy lấy chị quần 220k lun nha size s,6
1635,con ko,3
1636,áo con gấu em,2
1637,1 đầm đỏ mã 18 185k,2
1638,3 áo thun mã 26 99x3 297k,2
1639,1 hộp cơm cháy 65k,2
1640,cho chị 2 áo chanel nha,6
1641,còn ko,3
1642,áo chanel vòn ko,3
1643,lấy chị hộp cơm cháy lun,6
1644,mẫu này lấy 1 đen 1 trắng,6
1645,mẫu này lấy 3 cái,6
1646,lấy chị mẫu này l,6
1647,ko có hả,3
1648,còn ko e,3
1649,giá 220k ah,2
1650,quân này hình như có mẫu rách nửa hả em,3
1651,roof cái quần thiếu chị có ko,3
1652,quần chữ h bửa thiếu chị một m,2
1653,hôm nay lấy thêm một m với một l nửa nha em,2
1654,một hộp cơm cháy,2
1655,áo này lấy 1 đen 1 trắng,2
1656,áo này lấy 3 cái,2
1657,kiêm tra đồ chị dặt thêm con hk,3
1658,em ơi,0
1659,cho chị một cái nửa nha,6
1660,áo thun chanel còn ko,3
1661,cho chị thêm một cái m nửa,6
1662,quần chữ h còn ko em,3
1663,size m,2
1664,e ơi sao đơn dặt hàng của chị là hai cái quần m mà sao bên em giao có 1 vậy,4
1665,bạnnowi,0
1666,shop oi,0
1667,vậy lấy cho chị 1 cái,6
1668,69 pasteur p bến nghé q1,2
1669,là hai cái áo này một xanh một da,2
1670,lấy màu này cho chị nủa,6
1671,vậy lấy chị áo xanh,6
1672,bộ này còn ko em,3
1673,mấy món kia hết rồi hat,3
1674,em ơi,0
1675,đầm đỏ,2
1676,quần l,2
1677,váy đen l,2
1678,áo xanh,2
1679,hi e,0
1680,tk em nha,1
1681,là hai quần,2
1682,vậy lấy cho chị thêm một quần l nủa nha,6
1683,áo vải này hết hat,3
1684,hai mâu này con ko,3
1685,quần này có mấy size,3
1686,quần này còn l ko,3
1687,lấy áo trắng luôn,6
1688,lấy bẹt vai luôn,6
1689,cho chị s,6
1690,áo bẹt vai ah,2
1691,áo đen còn ko em,3
1692,cái nào còn bé,3
1693,69 pasteur p bến nghé q1,2
1694,tổng của chị bao nhiêu luôn nha em,3
1695,crystalluu thiện nhân,2
1696,69 pasteur p bến nghé q1,2
1697,bé ơi,0
1698,vàng luôn,2
1699,còn thi lấy chị hai cái đó,3
1700,trắng,2
1701,còn đỏ ko,3
1702,mẫu này còn mau nào e,3
1703,quần e bảo hết ah,3
1704,lấy chị áo trắng này luôn,6
1705,vậy áo hoa hồng lâysc cho chị,6
1706,áo trắng này con ko,3
1707,áo hoa nào em,3
1708,vậy mấy mẫu cong lại có ko em,3
1709,em ơi,0
1710,bé ơi,0
1711,shop ơi,0
1712,shop ơi,0
1713,lưu thị thiện nhân,2
1714,quần khoen sai s quần 2 nut l nha em,2
1715,69 pasateur p bến nghé q1,2
1716,em ơi,0
1717,shop oei,0
1718,em ơi,0
1719,áo đen và xanh,2
1720,chân váy size s l,2
1721,bạn ơi lấy cho mình mấy mẫy này,6
1722,shop ơi,0
1723,dhop oei,0
1724,mẫu này màu trắng ah em,3
1725,em ơi,0
1726,chị lấy hai mẫu này,6
1727,bé ơi,0
1728,shop ơi,0
1729,shop oei,0
1730,em ơi,0
1731,vậy từ đây đến chiều nhận dc báo chị,5
1732,bé ơi,0
1733,rổi tổng đơn của chị bao nhiêu vậy,3
1734,lấy cho chị luôn rồi gửi đi em,6
1735,em xem dùm chị hai mâu chị mới gửi ah còn ko,3
1736,set trắng nào vậy em,3
1737,em ơi,0
1738,còn thi lấy luôn,3
1739,bé ơi kiểm tra dùm chị mẫu này còn ko,3
1740,shop ơi,0
1741,bạn ơi,0
1742,shop ơi,0
1743,em ơi,0
1744,vậy mâu này lấy rêu cho chị đi em,6
1745,cái này lấy màu xanh và màu vang,6
1746,có mấy size em,3
1747,cái này còn ko em,3
1748,cái này lấy cho chị hai cái màu đen một màu trắng,6
1749,bộ này lấy cho chị hai cái,6
1750,cái màu hồng size l màu đen s,2
1751,rồi em lấy thêm cho chị mấy mẫu này,6
1752,em ơi,0
1753,69 pasteur p bến nghé q1,2
1754,thiện nhân,2
1755,em ơi,0
1756,em ơi chị lấy mẫu này,6
1757,em ơi,0
1758,của chị hêt nhiêu em,3
1759,69 pasteur p bến nghé q1,2
1760,vậy lấy hai mẫu đó,6
1761,còn ko em,3
1762,set sọc ah,2
1763,set kia hêt rồi hả em,3
1764,vậy lấy cho chị hai cái đó,6
1765,áo den vat trắng đúng ko,3
1766,mẫu nào bé,3
1767,là còn cái nào em,3
1768,còn hàng không sao ko ai trả lời minh hêt vậy,3
1769,shop ơi,0
1770,lấy cho mình hai bộ này,6
1771,bạn ơi,0
1772,minh dang thấy bạn live ah có mẫu áo này nè còn ko lấy cho monhf vơi,3
1773,shop ơi,0
1774,em ơi,0
1775,shop oei,0
1776,shop ơi,0
1777,shop oei,0
1778,em ơi,0
1779,mâu này còn ko dhop,3
1780,shop ơi,0
1781,một đầm trắng,2
1782,một cái đầm vàng,2
1783,và đen luôn còn ko,3
1784,màu trắng,2
1785,áo bẹtvai màu tráng hôm qua live có ko em,3
1786,hai cái nay vòn hả,3
1787,đầm trắng,2
1788,đầm vàng,2
1789,shop ơi,0
1790,còn ko bạn,3
1791,với mâu này,6
1792,vậy mấy mâu kia hêt rồi hả em,3
1793,bạn ơi,0
1794,mâu nay von ko bạn,3
1795,nếu chốt hàng thông tin đầy đủ sđt địa chỉ,3
1796,shop ơi,0
1797,màu trắng ah hả,3
1798,mẫu nào hết em,3
1799,lấu cho mình hai mẫu cong lại,6
1800,em ơi,0
1801,bạn ơi,0
1802,shop ơi,0
1803,trả lời mình với,5
1804,shop oei,0
1805,shop ơi,0
1806,shop ơi cho mình lấy áo này,6
1807,shop ơi,0
1808,bạn ơi,0
1809,shop ơi,0
1810,nếu chốt hàng thông tin đầy đủ sđt địa chỉ,3
1811,em ơi,0
1812,còn hàng ko,3
1813,bạn ơi bộ này bao nhiêu vậy,3
1814,lấy cho mình thêm hai bộ này nữa,6
1815,với mâu này còn ko,3
1816,bạn ơi,0
1817,lưu thị thiện nhân crystal luu,2
1818,69 passteur p bến nghé quận 1,2
1819,bộ nay con ko bạn,3
1820,nếu chốt hàng thông tin đầy đủ sđt địa chỉ,3
1821,st nay còn ko bạn,3
1822,shop oi,0
1823,mâu nay 62ky vua ko,3
1824,set nsy 62ky vua ko b,3
1825,bắt đầu,0
1826,kh vì lí do nào đó ko nghe máy 1 lần là ko chốt hả shop ktra và rep dùm mình,5
1827,mẫu này còn hàng ko ạ,3
1828,shop còn hàng ko cho mình đặt hàng ạ,3
1829,xin chào bạn,0
1830,mình cần mẫu này shop còn hàng ko ạ,3
1831,chất liệu vải j vậy bạn,3
1832,mẫu này bao nhiêu ah,3
1833,còn thì e 1 áo xanh dồn đơn,3
1834,áo xanh này còn ko c ơi,3
1835,mẫu quần này còn size 27 k shop để e 1 cái với ạ,3
1836,nảy e đặt áo đỏ cho e chốt áo đỏ với đầm kem 04 size s luôn nhé chị phương,6
1837,còn màu da k để mình 2 cái 2 màu size 34 nhé,3
1838,lấy size cho em nhỏ nhất có size nào vậy chị lấy em 2 màu,3
1839,còn áo ngực bra này k shop hôm trước comment k mua đc,3
1840,chi cục thống kê huyện bắc bình thị trấn chợ lầu nguyễn thị minh cường xxxxx,2
1841,shop ơi áo trắng và áo khoắc vàng còn ko cho e mẫu này với ạ sắp đi đà lạt rùi ưu tiên mình nhé,3
1842,cái này còn k cho e 1 cái,3
1843,chi cục thống kê huyện bắc bình thị trấn chợ lầu bình thuận,2
1844,liên hệ tư vấn viên,5
1845,mẫu này còn k shop để mình 1 cái,3
1846,liên hệ tư vấn viên,5
1847,chân váy này còn k shop để mình 1 cái nhé,3
1848,bộ này còn k shop,3
1849,1m55 nặng 49kg chân váy có size k,3
1850,452 thôn thái hòa xã hồng thái huyện bắc bình tỉnh bình thuận xxxxx,2
1851,váy này còn không shop để cho mình 1 cái được k,3
1852,e nhớ là 01 s trắng,2
1853,quần size s,2
1854,check tn giúp e sốp ơi,5
1855,e đặt k kịp trên live mẫu này còn thì chốt đơn giúp e nhé,3
1856,e đặt quần như ảnh size s nhé,6
1857,e cao 1m69 eo63 mông92 51kg,2
1858,quần này còn k ạ,3
1859,30 12 đoàn trần nghiệp vĩnh phước nha trang c giao cùng giỏ đen tối qua e chốt trên live nhé,2
1860,đầm hồng này còn cho e đặt nhé,3
1861,cho e hỏi đầm này còn k ạ,3
1862,dạ shop gọi lại rồi ạ,5
1863,mình gọi lại ko thấy shop nghe máy shop gọi lại giúp mình nha cám ơn shop,5
1864,hồi nãy mình ko cầm điện thoại mai shop gọi lại giúp mình nha đừng xả đơn giống mấy lần trước nha cám ơn shop,5
1865,shop báo tổng đơn giùm mình luôn nha,3
1866,shop quên gửi set son cho mình,4
1867,áo này màu đen,2
1868,shop ơi mình mới nhận đơn này mà trong bịch có 2 sản phẩm ah shop gửi thiếu 1 cái áo shop kiểm tra lại giúp mình nha cám ơn shop,4
1869,chào shop bữa mình có mua cái đầm này bên shop nay mới xem hàng thấy bị lỗi như hình không biết có đổi được không ạ cám ơn shop,7
1870,set này còn ko shop chị bị lạc set này nè,3
1871,mình mới nhận hàng không có đầm body xám áo khoác vest bill bữa đó còn chưa xả thì ship giúp mình nha,4
1872,mình lấy set này kèm belt nha,6
1873,túi này còn ko,3
1874,đồng hòi này còn ko ạ,3
1875,bộ này bên b còn hôn,3
1876,bây giờ e muốn đổi túi này,7
1877,túi cánh á,2
1878,c oi cho e đổi mẫu này,7
1879,dc 16 đương tân nhơn phu pphuoc long b q9 cty h b sđtxxxxx,2
1880,hồng,2
1881,xanh trng,2
1882,dc 16 đường tân nhơn phu pphuoc long b q9 cty h b sđtxxxxx,2
1883,lấy 2 áo này trắng với hồng,6
1884,dc 16 đươ ng tân nhơn phu pphuoc long b q9 cty h b sđtxxxxx,2
1885,kg có đàm thì lấy c 2 cái áo trơn trắng hồng nhe e,6
1886,đầm hoa 195 còn kg e,3
1887,dc số 16 đươ ng tân nhơn phu pphuoc long b q9 cty h b sđtxxxxx,2
1888,trắng tơn _ hồng hoa,2
1889,lấy 2 cái áo này nhe b,6
1890,áo này con kg b,3
1891,áo này còn kg b,3
1892,váy này bn shop,3
1893,521 87 57 tổ 16 khu phố 1 phường long bình biên hoà đồng nai,2
1894,gui cho e xem mau ben minh voi,3
1895,chị gửi cho e xem vài mẫu đầm bên mình dc k,3
1896,vay nay bn shop,3
1897,màu kem sz m nh shop ơi,2
1898,dạ lấy nha shop,6
1899,shop ơi,0
1900,ấp xà mách xã lai uyên huyện bàu bàng tỉnh bình dương,2
1901,lấy e 1dden 1 đỏ nha shop,6
1902,1m50 48kg vừa k e,3
1903,đi chưa e bn dể c ck,3
1904,cái dầm vàng c bi rách chút á,4
1905,c chốt mã 52 là cái dầm đen này,2
1906,sao giao thành chai nước hoa,4
1907,giao lộn hàng c rồi,4
1908,e oi,0
1909,7 hộp nha e,2
1910,size l,2
1911,e oi còn set 01 trưa hôm qua 189,3
1912,ok e c đặt 1 cái nha có thi ship c,6
1913,e lấy c cái áo len màu c đanh dâu nha e,6
1914,chứ c bit mua hàng rẻ ma nhưng dập vô mắt mới vừa nhận dã thấy,4
1915,như là có dấu ai gạch vậy ad,4
1916,dập vô ngay mắt luon,4
1917,kính trắng xước trầy nhíu lắm e,4
1918,cái miumiu thì tạm nhân,4
1919,nhưng cái màu trắng quá trầy e pi,4
1920,e oi c dã gọi dt bên shop roi e check báo c nhé,5
1921,cái jum thi bị lủng 2 lỗ e,4
1922,bị trầy như vậy,4
1923,hi e,0
1924,cảm ơn em,1
1925,mà cái dầm bị lủng lỗ nhỏ ngay ngực,4
1926,hi shop,0
1927,em xem giúp c nhé,2
1928,c vua nhận cái dầm jean nhạt sao mà nửa bên dây khác màu nhau e,4
1929,hi shop,0
1930,còn bàn ủi ko e,3
1931,1017 26 40a lê văn lương phước kiểng nhà bèxxxxx,2
1932,mẫu này còn ko shop,3
1933,hi shop,0
1934,lấy c 2 mẫu này nha e,6
1935,lấy c jum nay nhe,6
1936,lấy c 1 jum nay nha e,6
1937,sét sọc nay ne e,2
1938,1 sét sọc 180 và 1 dâm xanh 125,2
1939,có ko e hen,3
1940,2 mẫu do e,2
